,Грамматика,Unnamed: 1,Времена,Unnamed: 3,Лексика,Unnamed: 5,Чтение,Unnamed: 7,Аудирование,Unnamed: 9,Письмо,Unnamed: 11,Говорение,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,Исчисляемые и неисчисляемые существительные,1.0,Утвердительные предложения в Present Simple,101.0,Фразовый глагол keep,201,"Понимание основного содержания
текста",301.0,"Понимание основного содержания
прослушанного текста",401.0,Письмо личного характера,501.0,Буквенные сочетания и их произношения,601.0,Структура экзамена,901.0
1,Количественные числительные,2.0,Отрицательные предложения в Present Simple,102.0,Устойчивые выражения с местоимениями,202,"Понимание структурно-
смысловых связей в тексте",302.0,"Понимание запрашиваемой
информации в прослушанном
тексте",402.0,Письменное высказывание с элементами рассуждения по предложенной проблеме,502.0,Чтение дат,602.0,,
2,Употребление артикля a,3.0,Окончания -s/-es глаголов,103.0,Вводные слова,203,"Полное и точное понимание
информации в тексте",303.0,"Полное понимание
прослушанного текста",403.0,,,Чтение годов,603.0,,
3,Употребление артикля the,4.0, Вопросительные предложения в Present Simple,104.0,Устойчивые выражения с to do,204,Выборочное понимание нужной информации,304.0,Определение темы звучащего текста,404.0,,,Чтение текста вслух,604.0,,
4,Употребление нулевого артикля,5.0,Слова-маркеры Present Simple,105.0,Устойчивые выражения с to make,205,Выборочное понимание интересующей информации,305.0,,,,,Формулирование вопросов,605.0,,
5,Предлоги времени,6.0,Глагол to be в Present Simple,106.0,Лексика по теме “Семья”,206,,,,,,,Ответ на вопросы,606.0,,
6,Предлоги места,7.0,Утвердительные предложения в Present Continuous,107.0,"Лексика ""Disliking""",207,,,,,,,Описание фотографий для проекта,607.0,,
7,Порядковые числительные,8.0,Отрицательные предложения в Present Continuous,108.0,Употребление few and little,208,,,,,,,Монолог,608.0,,
8,Предлоги с транспортом,9.0,Окончаниe -ing глаголов,109.0,"Лексика ""Desiring""",209,,,,,,,Правила интонирования,609.0,,
9,"Оборот ""There + to be""",10.0, Вопросительные предложения в Present Continuous,110.0,Употребление so,210,,,,,,,Чтение числительных,610.0,,
10,Passive voice,11.0,Слова-маркеры Present Continuous,111.0,Употребление such,211,,,,,,,,,,
11,Предлоги by и with в Passive Voice,12.0,Статичные глаголы,112.0,"Употребление other, others и another",212,,,,,,,,,,
12,Личные местоимения,13.0,Глаголы с разным значением в Simple и Continuous,113.0,Фразовые глаголы со stand,213,,,,,,,,,,
13,Притяжательные местоимения,14.0,Глагол to be в Past Simple,114.0,Фразовый глагол turn,214,,,,,,,,,,
14,Возвратные местоимения,15.0,Утвердительные предложения в Past Simple,115.0,Фразовый глагол set,215,,,,,,,,,,
15,Указательные местоимения,16.0,Отрицательные предложения в Past Simple,116.0,Фразовый глагол get,216,,,,,,,,,,
16,Взаимные местоимения,17.0,Окончаниe -ed глаголов,117.0,"Лексика ""Болезни""",217,,,,,,,,,,
17,Вопросительные местоимения,18.0, Вопросительные предложения в Past Simple,118.0,Фразовый глагол take,218,,,,,,,,,,
18,Количественные местоимения,19.0,Слова-маркеры Past Simple,119.0,"Употребление look, see and watch",219,,,,,,,,,,
19,Местоимение one / ones,20.0,Утвердительные предложения в Past Continuous,120.0,Употребление hear and listen,220,,,,,,,,,,
20,Неопределенные местоимения,21.0,Отрицательные предложения в Past Continuous,121.0,"Лексика ""Holidays""",221,,,,,,,,,,
21,Общий вопрос,22.0, Вопросительные предложения в Past Continuous,122.0,Словообразование существительных,222,,,,,,,,,,
22,Специальный вопрос,23.0,Слова-маркеры Past Continuous,123.0,Словообразование глаголов,223,,,,,,,,,,
23,Вопрос к подлежащему,24.0,Утвердительные предложения в Present Perfect,124.0,Словообразование наречий,224,,,,,,,,,,
24,Альтернативные вопросы,25.0,Отрицательные предложения в Present Perfect,125.0,Словообразование прилагательных,225,,,,,,,,,,
25,Вспомогательные глаголы,26.0,,,"Лексика ""Sport activities""",226,,,,,,,,,,
26,Сложные предложения,27.0, Вопросительные предложения в Present Perfect,127.0,Прилагательные с окончаниями -ed и -ing,227,,,,,,,,,,
27,Существительные множественного числа,28.0,Слова-маркеры Present Perfect,128.0,"Лексика ""Spending money and shopping""",228,,,,,,,,,,
28,Притяжательный падеж,29.0,Утвердительные предложения в Past Perfect,129.0,"Лексика ""Hobbies and Personalities""",229,,,,,,,,,,
29,Пунктуация в простых предложениях,31.0,Отрицательные предложения в Past Perfect,130.0,"Лексика ""Travel and transport""",230,,,,,,,,,,
30,Пунктуация в сложноподчиненных предложениях,33.0, Вопросительные предложения в Past Perfect,131.0," Лексика ""Jobs""",231,,,,,,,,,,
31,Relative Clauses,34.0,Слова-маркеры Past Perfect,132.0,"Лексика ""Science and technology""",232,,,,,,,,,,
32,Согласование времён в косвенной речи,35.0,Утвердительные предложения в Future Simple,133.0,"Лексика ""The media""",233,,,,,,,,,,
33,Образование сравнительной степени прилагательных с помощью -er,36.0,Отрицательные предложения в Future Simple,134.0,"Лексика ""People and Society""",234,,,,,,,,,,
34,Образование сравнительной степени прилагательных с помощью more,37.0, Вопросительные предложения в Future Simple,135.0,"Лексика ""The law and crime""",235,,,,,,,,,,
35,Образование превосходной степени прилагательных с помощью -est,38.0,Слова-маркеры Future Simple,136.0,"Лексика ""Health and fitness""",236,,,,,,,,,,
36,Превосходная степень сложных прилагательных,39.0,Утвердительные предложения в Future Continuous,137.0,"Лексика ""Food and drink""",237,,,,,,,,,,
37,Исключения в сравнении прилагательных,40.0,"Who, which, that, whom",138.0,"Лексика ""Education and learning""",238,,,,,,,,,,
38,Оборот as...as,41.0,Предположительные контрукции,139.0,"Лексика ""Weather and environment""",239,,,,,,,,,,
39,Инфинитив,42.0,Отрицательные предложения в Future Continuous,140.0,"Лексика ""Money and shopping""",240,,,,,,,,,,
40,Употребление Bare Infinitive (инфинитив без частицы to),43.0, Вопросительные предложения в Future Continuous,141.0,"Лексика ""Entertainment""",241,,,,,,,,,,
41,Stative Verbs,44.0,Слова-маркеры Future Continuous,142.0,"Лексика ""Work and business""",242,,,,,,,,,,
42,Нулевой тип условных предложений,45.0,Утвердительные предложения в Future Perfect,143.0,"Употребление although, though, even though",243,,,,,,,,,,
43,Первый тип условных предложений,46.0,Отрицательные предложения в Future Perfect,144.0,"Употребление in spite of, despite",244,,,,,,,,,,
44,Второй тип условных предложений,47.0, Вопросительные предложения в Future Perfect,145.0,Фразовый глагол bring,245,,,,,,,,,,
45,Третий тип условных предложений,48.0,Слова-маркеры Future Perfect,146.0,Фразовый глагол  call,246,,,,,,,,,,
46,Конструкция «I wish..»,49.0,Утвердительные предложения в Present Perfect Continuous,147.0,Фразовый глагол  carry,247,,,,,,,,,,
47,"Модальный глагол ""can""",50.0,Отрицательные предложения в Present Perfect Continuous,148.0,Фразовый глагол  catch,248,,,,,,,,,,
48,"Модальный глагол ""may""",51.0, Вопросительные предложения в Present Perfect Continuous,149.0,Фразовый глагол come,249,,,,,,,,,,
49,"Модальный глаголы ""shall"" и ""should""",52.0,Слова-маркеры Present Perfect Continuous,150.0,Фразовый глагол get,250,,,,,,,,,,
50,"Модальный глагол ""ought to""",53.0,Утвердительные предложения в Past Perfect Continuous,151.0,Фразовый глагол give,251,,,,,,,,,,
51,"Модальный глагол ""must""",54.0,Отрицательные предложения в Past Perfect Continuous,152.0,Фразовый глагол go,252,,,,,,,,,,
52,"Модальный глагол ""have to""",55.0, Вопросительные предложения в Past Perfect Continuous,153.0,Фразовый глагол look,253,,,,,,,,,,
53,"Модальный глагол ""might""",56.0,Слова-маркеры Past Perfect Continuous,154.0,Фразовый глагол make,254,,,,,,,,,,
54,Глагол be to,57.0,Present Continuous для выражения будущего,155.0,Фразовый глагол pull,255,,,,,,,,,,
55,Конструкция used to,58.0,Future in the Past,156.0,Фразовый глагол put,256,,,,,,,,,,
56,Конструкция to be used to,59.0,Вопросительные предложения в Future Perfect Continuous,157.0,"Лексика ""Досуг и увлечения""",257,,,,,,,,,,
57,Конструкция to be going to,60.0,Утвердительные предложения в Future Perfect Continuous,158.0,"Лексика ""Проблемы выбора профессии и роль иностранных языков""",258,,,,,,,,,,
58,Вопросительное предложение с модальным глаголом,61.0,Слова-маркеры Future Perfect Continuous,159.0,"Лексика ""Природа""",259,,,,,,,,,,
59,Отрицательное предложение с модальным глаголом,62.0,,,"Лексика ""Взаимоотношения в семье""",260,,,,,,,,,,
60,Утвердительное предложение с модальным глаголом,63.0,,,"Лексика ""Взаимоотношения с друзьями и в школе""",261,,,,,,,,,,
61,Конструкция Have something done,64.0,,,"Лексика ""Внешность и характеристики человека""",262,,,,,,,,,,
62,Глагол Would,65.0,,,"Лексика ""Школа""",263,,,,,,,,,,
63,Конструкция Had better,67.0,,,"Лексика ""ЗОЖ""",264,,,,,,,,,,
64,Конструкции would prefer и would rather,68.0,,,"Лексика ""Технический прогресс""",265,,,,,,,,,,
65,,,,,"Лексика ""Путешествия""",266,,,,,,,,,,
66,Сложное дополнение,70.0,,,"Лексика ""Глобальные проблемы современности""",267,,,,,,,,,,
67,Сложное подлежащее,71.0,,,"Лексика ""Покупки. Карманные деньги""",268,,,,,,,,,,
68,Модальный глагол could,72.0,,,Лексическая сочетаемость,269,,,,,,,,,,
69,Tag questions,73.0,,,Устойчивые выражения,270,,,,,,,,,,
70,Предложение с начальным it,74.0,,,{Умит удалён},271,,,,,,,,,,
71,Устойчивые сочетания прилагательных с предлогами,75.0,,,Словообразование существительных с помощью префиксов,272,,,,,,,,,,
72,Простые предложения,76.0,,,Словообразование существительных с помощью суффиксов,273,,,,,,,,,,
73,Инфинитив в предложении,78.0,,,Словообразование прилагательных с помощью префиксов,274,,,,,,,,,,
74,"Конструкция ""it+to be""",79.0,,,Словообразование прилагательных с помощью суффиксов,275,,,,,,,,,,
75,"Конструкция ""it takes""",80.0,,,Словообразование глаголов с помощью префиксов,276,,,,,,,,,,
76,Образование сравнительно степени прилагательного с помощью much,81.0,,,Словообразование глаголов с помощью суффиксов,277,,,,,,,,,,
77,Образование сравнительной степени прилагательного с усилением с помощью much more,82.0,,,Словообразование наречий с помощью префиксов,278,,,,,,,,,,
78,Образование сравнительной степени прилагательного с усилением с помощью far more,83.0,,,Словообразование наречий с помощью суффиксов,279,,,,,,,,,,
79,Participle 2,84.0,,,Словообразование числительных с помощью суффиксов,280,,,,,,,,,,
80,"Образование степеней сравнения наречий, совпадающих по форме с прилагательными",85.0,,,Употребление say/tell/speak,281,,,,,,,,,,
81,"Образование степеней сравнения наречий, образованных от прилагательных с помощью -ly",86.0,,,Устойчивые сочетания глаголов с предлогами,282,,,,,,,,,,
82,Образование степеней сравнения многосложных наречий,87.0,,,Фразовый глагол «hang»,284,,,,,,,,,,
83,Образование степеней сравнения наречия: исключения,88.0,,,Лексика «Problems and solutions»,285,,,,,,,,,,
84,Предложения с конструкциями either ... or; neither ... nor,89.0,,,Лексика «Movement and transport»,286,,,,,,,,,,
85,Конструкция be able to,126.0,,,Лексика «Chance and nature»,287,,,,,,,,,,
86,Образование сравнительной степени наречий,90.0,,,Лексика «Materials and the built environment»,288,,,,,,,,,,
87,Образование превосходной степени наречий,91.0,,,Лексика «Reactions and health»,289,,,,,,,,,,
88,Исключения в сравнении наречий,92.0,,,Лексика «Power and Social issues» ,290,,,,,,,,,,
89,Употребление артикля a/an перед гласными/согласными,93.0,,,Лексика «Communication and the media»,291,,,,,,,,,,
90,"For-to construction, Causative form",94.0,,,Лексика «Quality and the arts»,292,,,,,,,,,,
91,Относительные местоимения,95.0,,,Лексика «Relationships and people»,293,,,,,,,,,,
92,Разница like/as,97.0,,,Лексика «Preference and Leisure activities»,294,,,,,,,,,,
93,Собирательные существительные,98.0,,,Лексика «Fun and games»,295,,,,,,,,,,
94,Конструкция For-to-Infinitive,99.0,,,Британский и американский английский,296,,,,,,,,,,
95,Инверсия,701.0,,,Лексика «Learning and doing»,297,,,,,,,,,,
96,Члены предложения в английском языке,702.0,,,Лексика «Coming and going»,298,,,,,,,,,,
97,Употребление артикля an,703.0,,,Лексика «Friends and relations»,299,,,,,,,,,,
98,Герундий в предложении,704.0,,,Sending and receiving,801,,,,,,,,,,
99,Participle 1 ,705.0,,,Buying and selling,802,,,,,,,,,,
100,Пунктуация в сложносочиненных предложениях,706.0,,,Inventions and discoveries,803,,,,,,,,,,
101,,,,,Sending and receiving,804,,,,,,,,,,
102,,,,,People and daily life,805,,,,,,,,,,
103,,,,,"Лексика ""Страны изучаемого языка и родная страна""",806,,,,,,,,,,
104,,,,,"Лексика ""СМИ""",807,,,,,,,,,,
105,,,,,"Лексика ""Сельская местность""",808,,,,,,,,,,
106,,,,,"Лексика ""Жизнь в городе""",809,,,,,,,,,,
