,Общество,Unnamed: 1,Человек,Unnamed: 3,Социальная сфера,Unnamed: 5,Политическая сфера,Unnamed: 7,Основы конституционного строя РФ,Unnamed: 9,Право,Unnamed: 11,Экономика,Unnamed: 13,Макроэкономика,Unnamed: 15,Микроэкономика,Unnamed: 17,Духовная сфера,Unnamed: 19,Познание,Unnamed: 21,Навыки и умения,Unnamed: 23
0,Подходы к понятию общества,1.0,Человек - биосоциальное существо,101.0,Структура общества,201,Понятие власти,301.0,Понятие основ конституционного строя,401.0,Право в системе социальных норм,501.0,Экономика как наука,601.0,Понятие экономической системы,701.0,Понятие фирмы,801.0,Сфера духовной жизни,901.0,Понятие истины ,1001.0,Умение составлять сложный план,1101.0
1,Понятия общества в узком смысле,2.0,"Соотношение понятий индивид, индивидуальность, личность",102.0,Дифференциация общества и ее типы,202,Политическая власть и ее структура,302.0,Суверенитет народа,402.0,Право в объективном смысле,502.0,Экономика как хозяйство,602.0,Плановая (командная) экономическая система,702.0,Роль фирм в экономике,802.0,Материальная и духовная культура,902.0,Критерии истины. Практика как критерий истины,1002.0,Раскрывать на примерах теоретические положения,1102.0
2,Понятие общества в широком смысле,3.0,Биологическая природа человека,103.0,Понятие социальной стратификации,203,Политическая деятельность,303.0,Институты прямой демократии: референдум и свободные выборы,403.0,Право в субъективном смысле ,503.0,Уровни экономики: микроэкономика,603.0,Рыночная экономическая система,703.0,Доход фирмы,803.0,Понятие культуры в широком и узком смысле,903.0,Абсолютная истина ,1003.0,"Поиск социальной информации на схемах, диаграммах и таблицах и ее анализ",1103.0
3,Признаки общества как системы,4.0,Социальная природа человека,104.0,"Исторические типы социальной стратификации: рабство, классы, сословия, касты",204,Политическая система и ее подсистемы,304.0,Принципы демократических выборов,404.0,Признаки права,504.0,Уровни экономики: макроэкономика,604.0,Традиционная экономическая система,704.0,Прибыль фирмы,804.0,Мораль,904.0,Относительная истина ,1004.0,Извлекать информацию из неадаптированных оригинальных текстов,1104.0
4,Динамизм общественной системы,5.0,Духовный мир человека,105.0,Социальное неравенство,205,Институциональная подсистема,305.0,Избирательная кампания РФ,405.0,Правовая норма,505.0,Понятие факторов производства,605.0,Смешанная экономическая система,705.0,Издержки фирмы,805.0,Гражданственность,905.0,Объективная истина ,1005.0,Умение объяснять смысл обществоведческих понятий,1105.0
5,Функции общества,6.0,Понятие мировоззрения,106.0,"Критерии социальной стратификации: доход, власть, образование, престиж",206,Коммуникативная подсистема,306.0,Политическая система РФ,406.0,"Структура правовой нормы: гипотеза, диспозиция, санкция",506.0,Доходы на факторы производства,606.0,Функции рынков,706.0,Постоянные издержки,806.0,Патриотизм,906.0,Уровни познания (чувственный и рациональный),1006.0,Анализ ситуации по финансовой грамотности ,1106.0
6,4 подсистемы жизни общества,7.0,Типы мировоззрения,107.0,Престиж и авторитет,207,Нормативная подсистема,307.0,Форма государства РФ,407.0,Виды правовых норм,507.0,Земля как фактор производства,607.0,Виды рынков в зависимости от типа конкуренции,707.0,Переменные издержки,807.0,Гуманизм,907.0,"Формы чувственного познания (ощущение, восприятие, представление)",1007.0,Составление простого плана по прочитанному тексту,1107.0
7,Понятие общественной динамики,8.0,Самосознание индивида,108.0,Понятие социальной мобильности,208,Культурная подсистема,308.0,Республиканская форма правления РФ,408.0,Функции права,508.0,Труд как фактор производства,608.0,Рынок совершенной конкуренции,708.0,Экономические издержки,808.0,Понятие религии,908.0,"Формы рационального познания (понятие, суждение, умозаключение)",1008.0,Описывать социальные объекты по изображениям,1108.0
8,Прогресс,9.0,Формы мировоззрения,109.0,Горизонтальная и вертикальная социальная мобильность,209,Функциональная подсистема,309.0,Демократический политический режим в РФ,409.0,"Система права (отрасли, подотрасли, институты, нормы)",509.0,"Факторы, влияющие на труд как фактор производства",609.0,Олигополия,709.0,Бухгалтерские издержки,809.0,Виды религий,909.0,Особенности социального познания,1009.0,Раскрывать на примерах положения текста,1109.0
9,Регресс,10.0,Понятие деятельности,110.0,Восходящая и нисходящая социальная мобильность,210,Понятие государства,310.0,"Федеративное устройство РФ, типы субъектов в РФ",410.0,Частное и публичное право,510.0,Капитал как фактор производства,610.0,Монополия,710.0,Основные источники финансирования бизнеса,810.0,Мировые религии,910.0,Особенности научного познания,1010.0,"Формулирование и аргументация суждений, связанных с проблематикой текста",1110.0
10,Реформа и ее признаки,11.0,Структура деятельности,111.0,Индивидуальная и групповая социальная мобильность,211,Государственная власть,311.0,Система сдержек и противовесов в РФ,411.0,Материальное и процессуальное право,511.0,Предпринимательские способности как фактор производства,611.0,Монополистическая конкуренция,711.0,Внутренние источники финансирования бизнеса,811.0,Функции религии,911.0,"Уровни научного познания (эмпирический, теоретический)",1011.0,Применять обществоведческие знания в решении познавательных задач,1111.0
11,Революция и ее признаки,12.0,Материальная и духовная деятельность,112.0,Другие классификации социальной мобильности,212,Признаки государства,312.0,РФ - социальное государство,412.0,Источники права,512.0,Информация как фактор производства,612.0,Политика защиты конкуренции,712.0,Внешние источники финансирования бизнеса,812.0,Компоненты религии,912.0,Методы научного познания ,1012.0,Конкретизировать аспекты темы с учетом реалий современного российского общества и государства,1112.0
12,Эволюция,13.0,Виды деятельности,113.0,Каналы (лифты) социальной мобильности,213,Внешние функции государства,313.0,РФ - светское государство,413.0,НПА,513.0,Основы маркетинга,613.0,Антимонопольное законодательство,713.0,Фондовый рынок и его инструменты,813.0,Понятие образования,913.0,Мышление,1013.0,Применять социально-экономические и гуманитарные знания в процессе решения тестовых заданий,1113.0
13,Критерии прогресса,14.0,Игра,114.0,Факторы социальной мобильности,214,Внутренние функции государства,314.0,Идеологический и политический плюрализм в РФ,414.0,Правовой обычай,514.0,Основные принципы менеджмента,614.0,Понятие финансового рынка,714.0,Долевые ценные бумаги,814.0,Религиозные объединения,914.0,Знания и его виды,1014.0,,
14,Типы обществ,15.0,Общение,115.0,"Особенности современной социальной структуры (высший, средний и низший класс)",215,Внутренний и внешний суверенитет,315.0,Принципы федеративного устройства,415.0,Правовой прецедент,515.0,Проблема ограниченности ресурсов,615.0,Финансовые институты,715.0,Долговые ценные бумаги,815.0,Современные тенденции образования,915.0,Понятие познания,1015.0,,
15,Аграрное (традиционное) общество и его признаки,16.0,Труд,116.0,"Социальные конфликты, их роль и функции",216,Функции политической системы,316.0,Вопросы ведения РФ,416.0,Понятие юридической ответственности,516.0,Товары и услуги,616.0,Банки и банковская система,716.0,Акции: обыкновенные и привилегированные,816.0,Непрерывность образования,916.0,,,,
16,Индустриальное общество и его признаки,17.0,Учение,117.0,Структура социального конфликта,217,Форма государства,317.0,Вопросы совместного ведения РФ и субъектов,417.0,Виды юридической ответственности,517.0,Ресурсы и потребности,617.0,Центральный банк,717.0,Облигации,817.0,Гуманизация образования,917.0,,,,
17,Постиндустриальное общество и его признаки,18.0,"Потребности (первичные, вторичные, биологические, социальные, духовные)",118.0,Причина социального конфликта,218,Формы правления,318.0,Структура государственной власти РФ,418.0,Особенности уголовной ответственности,518.0,"Производство, распределение, обмен и потребление",618.0,Функции центрального банка,718.0,Чеки,818.0,Гуманитаризация образования,918.0,,,,
18,Глобальные проблемы человечества: понятие и признаки,19.0,Мнимые и разумные потребности,119.0,Повод социального конфликта,219,Формы государственно-территориального устройства,319.0,Президент РФ: положение в структуре государственной власти,419.0,Особенности уголовного процесса,519.0,Разделение труда и специализация,619.0,Коммерческие банки,719.0,Сберегательные сертификаты,819.0,Уровни образования,919.0,,,,
19,Пути решения глобальных проблем,20.0,Интересы,120.0,Стадии социального конфликта,220,Политические режимы,320.0,Полномочия Президента РФ,420.0,Конституционное судопроизводство,520.0,Производительность труда,620.0,Функции коммерческого банка,720.0,Инвестиционные паи,820.0,Формы культуры,920.0,,,,
20,Предпосылки возникновения глобальных проблем,21.0,Пирамида Маслоу,121.0,Компромисс как способ разрешения конфликта,221,Монархия и ее виды,321.0,Требования к кандидатуре Президента РФ,421.0,Гражданские споры и порядок их рассмотрения,521.0,Понятие денег,621.0,"Активные, пассивные, забалансовые операции банка",721.0,Рациональное экономическое поведение потребителя,821.0,"Виды культуры (массовая, народная, элитарная)",921.0,,,,
21,Основные институты общества,22.0,Мотивы в деятельности,122.0,Виды социальных конфликтов по субъектам,222,Республика и ее виды,322.0,Федеральное собрание РФ: структура и положение в структуре государственной власти,422.0,Основные правила и принципы гражданского процесса,522.0,Функции денег,622.0,Рынок труда,722.0,Семейный бюджет: доходы и расходы,822.0,Субкультуры,922.0,,,,
22,Понятие глобализации,23.0,Ценности человека,123.0,Виды социальных конфликтов по объектам,223,Федеративное устройство,323.0,Совет Федерации: структура,423.0,Юридическая ответственность за налоговые правонарушения,523.0,Заработная плата,623.0,Спрос и предложение на рынке труда,723.0,Предпринимательство,823.0,Контркультуры,923.0,,,,
23,Последствия глобализации,24.0,Способности человека и их природа,124.0,Виды социальных конфликтов по направленности,224,Унитарное устройство,324.0,Полномочия Совета Федерации,424.0,Экологические правонарушения,524.0,Формы заработной платы,624.0,Государственная политика в области занятости,724.0,Признаки предпринимательской деятельности,824.0,Диалог культур,924.0,,,,
24,Направления глобализации,25.0,Задатки,125.0,Виды социальных конфликтов по источникам возникновения,225,Конфедерация,325.0,Государственная Дума: структура,425.0,Способы защиты имущественных и неимущественных прав,525.0,Стимулирование труда,625.0,Понятие безработицы,725.0,Формы предпринимательской деятельности,825.0,Функции образования,925.0,,,,
25,Предпосылки глобализации,26.0,"Талант, гениальность",126.0,"Стратегии взаимодействия в конфликте (соперничество, сотрудничество, избегание, приспособление)",226,Демократический политический режим: его основные ценности и признаки ,326.0,Полномочия Государственной Думы,426.0,Законодательство в сфере антикоррупционной политики государства,526.0,Экономические меры социальной поддержки населения ,626.0,Экономический состав населения,726.0,"Основные организационно-правовые формы предпринимательской деятельности: ООО, АО, производственный кооператив, товарищество",826.0,Порядок оказания платных образовательных услуг,926.0,,,,
26,Взаимное влияние природы и общества,27.0,Свобода и необходимость в деятельности,127.0,Виды социальных конфликтов,227,Авторитарный политический режим,327.0,Правительство: состав и положение в структуре государственной власти ,427.0,Противодействие терроризму в РФ,527.0,Неравенство доходов,627.0,Фрикционная безработица,727.0,"Банковские услуги, предоставляемые гражданам: кредит, обмен валют, электронные деньги, депозит, денежный перевод, платежная карта",827.0,Понятие искусства,927.0,,,,
27,Социальные отношения: понятия и виды,28.0,Социальное поведение человека,128.0,Люмпены,232,Тоталитарный политический режим,328.0,Полномочия Правительства,428.0,Право на благоприятную окружающую среду и способы его защиты,528.0,Конкуренция,628.0,Структурная безработица,728.0,"Дистанционное банковское обслуживание: онлайн-банкинг, мобильный банкинг, банкоматы",828.0,Виды искусства,928.0,,,,
28,Социальное взаимодействие,29.0,Свобода и ответственность,129.0,Маргиналы,233,Правовое государство,329.0,Судебная система РФ,429.0,Гражданское право,529.0,,,Циклическая безработица,729.0,Сбережения,829.0,Функции искусства,929.0,,,,
29,ЗОЖ,30.0,Понятие социализации,130.0,Конформное поведение,235,Гражданское общество и его структура,330.0,Полномочия Верховного Суда РФ,430.0,Гражданские правоотношения,530.0,,,Сезонная безработица,730.0,Понятие рыночного механизма,830.0,Виды наук,930.0,,,,
30,Значение ЗОЖ для личности и общества,31.0,Первичная и вторичная социализация,131.0,Девиантное поведение,236,Предпосылки формирования гражданского общества,331.0,Полномочия Конституционного Суда РФ,431.0,Субъекты гражданских правоотношений,531.0,,,Скрытая безработица,731.0,Понятие спроса,831.0,Роль науки в производстве,931.0,,,,
31,Вред алкоголя и наркотиков,32.0,Этапы социализации,132.0,Делинквентное поведение,237,Политическая элита,332.0,Понятие прав человека и гражданина,432.0,Физические лица как субъекты гражданских отношений,532.0,,,Понятие инфляции,732.0,Величина спроса,832.0,Свобода совести,932.0,,,,
32,Понятие законотворчества,33.0,Социализация и взросление,133.0,"Причины девиантного поведения (биологические, социальные, психологические)",238,Понятие политической идеологии,333.0,Личные права человека,433.0,Юридические лица как субъекты гражданских отношений,533.0,,,Виды инфляции: инфляция спроса и инфляция издержек,733.0,Закон спроса,833.0,Понятие науки,933.0,,,,
33,Этапы законотворчества в РФ,34.0,"Агенты, институты и факторы социализации",134.0,Положительная девиация,239,Основные виды идеологий,334.0,Социально-экономические и культурные права человека,434.0,Правоспособность,534.0,,,"Виды инфляции: ползучая, галопирующая, гиперинфляция",734.0,Факторы влияющие на спрос,834.0,Права и обязанности учащихся в РФ,934.0,,,,
34,Права и обязанности учащихся в РФ,35.0,Особенности подросткового возраста,135.0,Типы девиантного поведения,240,Понятие политических партий,335.0,Политические права человека,435.0,Дееспособность,535.0,,,Последствия инфляции,735.0,Понятие предложения,835.0,,,,,,
35,Понятие и виды социальных институтов,36.0,Межличностные отношения,136.0,Борьба с девиацией,241,Функции политических партий,336.0,Конституционные обязанности человека,436.0,Имущественные права,536.0,,,Понятие экономического роста,736.0,Величина предложения,836.0,,,,,,
36,Функции социальных институтов,37.0,Межличностные конфликты,137.0,Социальный контроль,242,Кадровые и массовые политические партии,337.0,Понятие гражданства,437.0,Право собственности в юридическом смысле,537.0,,,Показатели экономического роста,737.0,Факторы влияющие на предложение,837.0,,,,,,
37,Дисфункции социальных институтов,38.0,Способы решения межличностных конфликтов,138.0,Внешний социальный контроль,243,Структура политических партий,338.0,Требования для кандидатов в гражданство РФ,438.0,"Правомочия собственника: владение, пользование, распоряжение",538.0,,,ВВП,738.0,Рыночное равновесие,838.0,,,,,,
38,Формальные и неформальные социальные институты,39.0,Признаки творческой деятельности,139.0,Внутренний социальный контроль,244,Правящие и оппозиционные партии,339.0,Основания приобретения гражданства РФ,439.0,Основания приобретения права собственности,539.0,,,ВНП,739.0,Равновесная цена,839.0,,,,,,
39,,,Темперамент,140.0,Совесть как механизм внутреннего социального контроля,245,Понятие партийной системы,340.0,Порядок принятия и изменения Конституции,440.0,Право на результаты интеллектуальной деятельности,540.0,,,Система национальных счетов,740.0,Личный финансовый план,840.0,,,,,,
40,,,Сходства и различия человека и животных,141.0,Формальный и неформальный социальный контроль,246,"Однопартийная, двухпартийная, многопартийная системы",341.0,Местное самоуправление в РФ,441.0,Наследование,541.0,,,Фазы экономического цикла,741.0,Экономические функции домохозяйства,841.0,,,,,,
41,,,,,Элементы социального контроля,247,Общественно-политические движения,342.0,Принципы избирательного права РФ,442.0,"Личные неимущественные права: честь, достоинство, деловая репутация",542.0,,,Роль государства в экономике,742.0,Активы и пассивы,842.0,,,,,,
42,,,,,Функции социального контроля,248,СМИ как политический институт,343.0,Статус Конституции,443.0,Порядок приема на работу,543.0,,,Понятие и виды общественных благ,743.0,Потребление домохозяйств,843.0,,,,,,
43,,,,,Понятие социальных норм,249,Роль СМИ в политической системе,344.0,Права ребенка и их защита,444.0,Порядок заключения трудового договора,544.0,,,Понятие налога,744.0,Конкурентные преимущества фирмы,844.0,,,,,,
44,,,,,Обычаи и традиции,250,Понятие избирательной компании,345.0,,,"Документы, необходимые для приема на работу",545.0,,,Налоговая система РФ,745.0,Обмен и торговля,845.0,,,,,,
45,,,,,Моральные нормы,251,Избирательная система,346.0,,,Права и обязанности работника и работодателя,546.0,,,"Федеральные, региональные, местные налоги",746.0,,,,,,,,
46,,,,,Правовые нормы,252,"Мажоритарная система (абсолютного большинства, относительного большинства)",347.0,,,Особенности трудовых отношений с участием несовершеннолетних,547.0,,,Функции налогов,747.0,,,,,,,,
47,,,,,Корпоративные нормы,253,Пропорциональная избирательная система,348.0,,,Основания расторжения трудового договора,548.0,,,"Налоги, уплачиваемые предприятиями",748.0,,,,,,,,
48,,,,,Религиозные нормы,254,Смешанная избирательная система,349.0,,,Расторжение трудового договора по инициативе работника,549.0,,,"Налоги, уплачиваемые физическими лицами",749.0,,,,,,,,
49,,,,,Политические нормы,255,Политический процесс,350.0,,,Расторжение трудового договора по инициативе работодателя,550.0,,,Понятие государственного бюджета,750.0,,,,,,,,
50,,,,,Этикет,256,Понятие политического лидерства,351.0,,,Расторжение трудового договора по соглашению сторон,551.0,,,Доходная часть государственного бюджета,751.0,,,,,,,,
51,,,,,Эстетические нормы,257,Функции политического лидера,352.0,,,Расторжение трудового договора по независящим от сторон причинам,552.0,,,Расходная часть государственного бюджета,752.0,,,,,,,,
52,,,,,Признаки социальных норм,258,Типы политического лидерства,353.0,,,Порядок и условия заключения брака,553.0,,,Монетарная политика государства,753.0,,,,,,,,
53,,,,,Функции социальных норм,259,Легальность,354.0,,,"Обстоятельства, препятствующие заключению брака",554.0,,,Фискальная политика государства,754.0,,,,,,,,
54,,,,,Понятие социальных санкций,260,Легитимность и ее типы,355.0,,,Имущественные права и обязанности супругов,555.0,,,Государственный долг,755.0,,,,,,,,
55,,,,,"Формальные, неформальные, позитивные и негативные социальные санкции",261,Принцип разделения властей ,356.0,,,Личные неимущественные права и обязанности супругов,556.0,,,Понятие мировой экономики,756.0,,,,,,,,
56,,,,,Способы регулирования общественных отношений,262,Политическая культура,357.0,,,Права и обязанности родителей и детей,557.0,,,Субъекты мировой экономики,757.0,,,,,,,,
57,,,,,Понятие и виды социальных общностей,263,Политическое участие. Формы политического участия,358.0,,,Понятие и предмет международного права,558.0,,,Международное разделение труда,758.0,,,,,,,,
58,,,,,Понятие и признаки социальных групп,264,,,,,Международная защита прав человека в условиях мирного и военного времени,559.0,,,Международная специализация,759.0,,,,,,,,
59,,,,,Квазигруппа,265,,,,,Воинская обязанность ,560.0,,,Тенденции экономического развития России,760.0,,,,,,,,
60,,,,,Основные свойства квазигрупп,266,,,,,"Альтернативная гражданская служба: понятие, сроки, основания",561.0,,,Международная торговля,761.0,,,,,,,,
61,,,,,Виды социальных групп,267,,,,,Военная служба,562.0,,,Экономическая интеграция,762.0,,,,,,,,
62,,,,,Молодежь,268,,,,,Права и обязанности налогоплательщиков,563.0,,,Глобальные экономические проблемы,763.0,,,,,,,,
63,,,,,Особенности социального положения молодежи,269,,,,,Понятие и функции правоохранительных органов,564.0,,,Государственная политика в области международной торговли,764.0,,,,,,,,
64,,,,,Социально-психологические качества молодежи,270,,,,,Адвокатура РФ,565.0,,,Протекционизм,765.0,,,,,,,,
65,,,,,Молодежная субкультура,271,,,,,Нотариат РФ,566.0,,,Фритредерство,766.0,,,,,,,,
66,,,,,Особенности молодежной субкультуры,272,,,,,Прокуратура РФ,567.0,,,Умеренная торговая политика,767.0,,,,,,,,
67,,,,,Понятие этнической общности,273,,,,,МВД,568.0,,,Другие виды рынков,768.0,,,,,,,,
68,,,,,Исторические типы этнических общностей,274,,,,,Уголовное право,570.0,,,"Системы налогообложения (прогрессивная, регрессивная, пропорциональная)",769.0,,,,,,,,
69,,,,,Особенности нации как этноса,275,,,,,Административное право,571.0,,,,,,,,,,,,
70,,,,,Этническое самосознание,276,,,,,Трудовое право,572.0,,,,,,,,,,,,
71,,,,,Межнациональные отношения,277,,,,,Прекращение брака,573.0,,,,,,,,,,,,
72,,,,,Международная интеграция,278,,,,,Правонарушения и их виды,574.0,,,,,,,,,,,,
73,,,,,Международная дифференциация,279,,,,,Правоотношения и их состав,575.0,,,,,,,,,,,,
74,,,,,Культурный плюрализм,280,,,,,Юридические факты,576.0,,,,,,,,,,,,
75,,,,,"""Плавильный котел""",281,,,,,,,,,,,,,,,,,,
76,,,,,Мультикультурализм,282,,,,,,,,,,,,,,,,,,
77,,,,,"Национализм, шовинизм, сегрегация, геноцид",283,,,,,,,,,,,,,,,,,,
78,,,,,Межнациональные конфликты,284,,,,,,,,,,,,,,,,,,
79,,,,,Причины межнациональных конфликтов,285,,,,,,,,,,,,,,,,,,
80,,,,,Основные принципы национальной политики РФ,286,,,,,,,,,,,,,,,,,,
81,,,,,Семья как малая соц группа и как соц институт,287,,,,,,,,,,,,,,,,,,
82,,,,,Функции семьи,288,,,,,,,,,,,,,,,,,,
83,,,,,"Типы семьи (по составу, по распределению власти, по распределению домашних обязанностей и другие)",289,,,,,,,,,,,,,,,,,,
84,,,,,Понятие брака,290,,,,,,,,,,,,,,,,,,
85,,,,,"Гражданский, церковный, фактический брак",291,,,,,,,,,,,,,,,,,,
86,,,,,Современные проблемы семьи,292,,,,,,,,,,,,,,,,,,
87,,,,,Социальный статус и статусный набор,293,,,,,,,,,,,,,,,,,,
88,,,,,Компоненты социального статуса,294,,,,,,,,,,,,,,,,,,
89,,,,,Виды социальных статусов,295,,,,,,,,,,,,,,,,,,
90,,,,,Статусные несоответствия,296,,,,,,,,,,,,,,,,,,
91,,,,,Социальная роль и ролевой набор,297,,,,,,,,,,,,,,,,,,
92,,,,,Ролевое поведение,298,,,,,,,,,,,,,,,,,,
93,,,,,Ролевые конфликты,299,,,,,,,,,,,,,,,,,,
94,,,,,Отношения между поколениями,1201,,,,,,,,,,,,,,,,,,
95,,,,,Многообразие социальных ролей в подростковом возрасте,1202,,,,,,,,,,,,,,,,,,
96,,,,,Социальные ценности,1203,,,,,,,,,,,,,,,,,,
