,Орфография,Unnamed: 1,Пунктуация,Unnamed: 3,Синтаксис,Unnamed: 5,Грамматика,Unnamed: 7,Орфоэпия и лексика,Unnamed: 9,Морфемика и слоообразование,Unnamed: 11,Изложение,Unnamed: 13,Итоговое собеседование,Unnamed: 15,Работа с текстом,Unnamed: 17,Сочинение,Unnamed: 19,Сочинение ОГЭ,Unnamed: 21
0,Правописание проверяемых гласных в корне слова,2,Запятая при передаче на письме чужой речи (прямая речь),101.0,Виды связи словосочетания. Согласование,202.0,Ошибки в построении предложений с однородными членами,330.0,Общеупотребительная лексика и лексика ограниченного употребления,404.0,Ошибочное словообразование,501.0,Текст. Смысловая и композиционная целостность текста,601.0,Владение всеми видами речевой деятельности (аудирование и чтение),701.0,Антитеза,801.0,Определение проблемы,901.0,Структура сочинения ОГЭ,1001.0
1,Правописание непроверяемых гласных в корне слова,4,"Пунктуация в простом предложении с однородными членами, связанными бессоюзной связью",102.0,Виды связи словосочетания. Управление,203.0,Нарушение в построении предложения с причастным оборотом,331.0,Исконно русская лексика,405.0,Морфема,502.0,Тема,602.0,"Владение разными видами чтения (поисковым, просмотровым, ознакомительным, изучающим) текстов разных стилей и жанров",703.0,Анафора,803.0,Формулирование примеров-иллюстраций из прочитанного текста,902.0,Раскрытие содержания высказывания лингвиста,1002.0
2,"Правописание безударных чередующихся гласных в корне слова, зависящих от суффикса -а-",5,"Пунктуация в простом предложении с однородными членами, связанными повторяющимися союзами, которые обозначают устойчивое выражение",103.0,Виды связи словосочетания. Примыкание,204.0,Нарушение в построении предложения с деепричастным оборотом,332.0,Заимствованная лексика,406.0,Чередования согласных,504.0,Микротема,603.0,Пересказ текста с включением цитаты,707.0,Антонимы (Контекстные антонимы),808.0,Пояснение примеров-иллюстраций,903.0,Раскрытие содержания фрагмента текста,1003.0
3,Правописание неизменяемых приставок,9,"Пунктуация в простом предложении с однородными членами, связанными противительным союзом",104.0,Синонимичные словосочетания,205.0,Нарушение в построении предложения с несогласованным приложением,333.0,Старославянизмы,407.0,Корень,505.0,Приёмы сжатия. Исключение. Замена. Обобщение,604.0,Использование синонимические ресурсы языка для более точного выражения мысли и усиления выразительности речи,719.0,Метафора,809.0,Смысловая связь между примерами-иллюстрациями и её анализ,904.0,Формулирование комментария,1004.0
4,Правописание приставок на -З и -С,10,"Пунктуация в простом предложении с однородными членами, связанными повторяющимися союзами",105.0,Способы выражения подлежащего,206.0,Неправильное построение предложения с косвенной речью,334.0,Лексическое видоизменение фразеологизма,408.0,Словообразующие и формообразующие морфемы,506.0,Основная мысль,605.0,Иметь представление об историческом развитии русского языка и истории русского языкознания,720.0,Эпитет,810.0,Определение авторской позиции,905.0,Раскрытие содержания понятия,1005.0
5,"Гласные в приставках, зависящие от ударения",12,"Пунктуация в простом предложении с однородными членами, связанными двойным союзом",106.0,Способы выражения сказуемого,207.0,Ошибки в построении сложного предложения,335.0,Паронимы,409.0,Приставка,507.0,Разговорный стиль речи,618.0,Проводить самостоятельный поиск текстовой и нетекстовой информации,723.0,Сравнение,811.0,Формулирование и обоснование своей позиции,906.0,,
6,Правописание приставок ПРА- и ПРО-,13,"Пунктуация в простом предложении с однородными членами, соединёнными попарно",107.0,Простое глагольное сказуемое,208.0,Нормативное образование и употребление местоимений,307.0,Плеоназм,416.0,Суффикс,508.0,Повествование,619.0,Отбирать и анализировать полученную информацию,724.0,Метонимия,812.0,Знание структуры итогового сочинения,907.0,,
7,Правописание приставок ПРЕ-/ПРИ-,14,Тире в предложении с однородными членами и обобщающим словом,109.0,Составное глагольное сказуемое,209.0,Неправильное употребление падежной формы существительного,309.0,Тавтология,417.0,Интерфикс,509.0,Интонация. Темп чтения,620.0,Оценивать стилистические ресурсы языка,725.0,Гипербола,813.0,Умение комментировать авторские высказывания на различные темы,908.0,,
8,Гласные Ы/И после приставок,17,Однородные и неоднородные определения,110.0,Составное именное сказуемое,210.0,Нарушение связи между подлежащим и сказуемым,310.0,Этические нормы,420.0,Постфикс,510.0,Виды чтения. Использование различных видов чтения в зависимости от коммуникативной задачи и характера текста,622.0,"Соблюдать культуру чтения, говорения, аудирования и письма",728.0,Литота,814.0,Умение формулировать свою позицию и доказывать её,909.0,,
9,Правописание разделительных Ъ/Ь,19,Знаки препинания при обращении,111.0,Простое предложение,211.0,Нарушение видовременной соотнесённости глагольных форм,311.0,Орфоэпические нормы,423.0,Окончание,511.0,,,Редактировать устные и письменные тексты различных стилей и жанров,739.0,Ирония,815.0,Знание структуры сочинения ЕГЭ,910.0,,
10,"Суффиксы существительных -ОНЬК-, -ЕНЬК-",21,Пунктуация при вводных словах (конструкциях),112.0,Распространённые предложения,212.0,Ошибки в употреблении имени числительного,312.0,Лексическая сочетаемость,424.0,Основа,512.0,,,"Проведение различных видов анализа слова (фонетического, морфемного, словообразовательного, лексического, морфологического)",740.0,Повествование,816.0,,,,
11,Суффиксы существительных -ОК-,25,Знаки препинания при обособленных определениях,113.0,Осложнённые предложения,213.0,Нарушение управления,315.0,Звук и буква,425.0,Сокращение производящей основы,513.0,,,Запятая в предложении с однородными членами (синтаксический анализ),741.0,Описание,817.0,,,,
12,Суффиксы существительных -ИК-/-ЕК-,26,Знаки препинания при обособленных обстоятельствах,115.0,Односоставные предложения,222.0,Первообразные прилагательные,317.0,Фонетическая транскрипция,426.0,Приставочный способ образования,515.0,,,"Иметь представление о роли, значении и функциях русского языка",742.0,Рассуждение,818.0,,,,
13,Суффиксы существительных -ИЦ-/-ЕЦ-,27,Запятая в предложении со сравнительным оборотом,118.0,Назывные предложения,223.0,Производная и производящая основа,318.0,Гласные звуки и гласные буквы,427.0,Суффиксальный способ образования,516.0,,,"Знание качеств, свойств и норм речи",743.0,"Формулировки, обозначающие отношения между предложениями",819.0,,,,
14,Суффикс существительного -К- в сочетаниях -ИНК-/-ЕНК- и суффикс -ИНК-,28,Знаки препинания в ССП,119.0,Определённо-личные предложения,224.0,Морфемный разбор,319.0,Согласные звуки и согласные буквы,428.0,Приставочно-суффиксальный способ образования,517.0,,,Знание структуры ЕГЭ и ориентирование в распределении баллов,744.0,Лексический анализ слова в тексте,820.0,,,,
15,Суффиксы существительных -ИНСТВ-/-ЕНСТВ-,29,Знаки препинания в ССП с общей частью,120.0,Обобщённо-личные предложения,225.0,Лексический разбор,320.0,Упрощение групп согласных (непроизносимый согласный),433.0,Нулевая суффиксация,518.0,,,,,Определительные местоимения как средство связи,821.0,,,,
16,Суффиксы существительных -УШК-/-ЫШК-/-ИШК-,30,Знаки препинания в СПП,126.0,Неопределённо личные предложения,226.0,Звукопись,321.0,Лексическое видоизменение фразеологизма,440.0,Постфиксация,519.0,,,,,Жанр текста,822.0,,,,
17,"Неизменяемые суффиксы существительных (-изн-, -ин-, -отн-, -овн-, -еств-, -ниц-, -овин-, -евин-, -ет-, -от-, -ест-, -ост-)",31,Знаки препинания в СПП с однородными придаточными,129.0,Безличные предложения,227.0,Нормативное образование и употребление форм причастий и деепричастий,329.0,,,Переход из одной части речи в другую,520.0,,,,,Типы речи,823.0,,,,
18,Суффиксы существительных -ЧИК-/ЩИК-,32,Пунктуация на стыке союзов,130.0,Неполные предложения. Элипсис,228.0,Нормативное образование и употребление имен числительных,336.0,,,Словообразовательный разбор слова,521.0,,,,,Морфологические признаки,824.0,,,,
19,Суффиксы существительных -ИЧ+К-/-ЕЧК-,33,Знаки препинания в предложениях с разными видами связи,131.0,Сложное предложение,230.0,Нормативное образование и употребление именительного падежа множественного числа существительных,337.0,,,Относительные местоимения,527.0,,,,,Лексические признаки,825.0,,,,
20,Суффиксы глаголов -ОВА(ЕВА)-/-ЫВА(ИВА)-,36,Тире между подлежащим и сказуемым,133.0,Придаточные определительные,232.0,Нормативное образование и употребление родительного падежа множественного числа существительных,338.0,,,Правописание безударных чередующихся гласных в корне слова,529.0,,,,,Синтаксические признаки,826.0,,,,
21,Правописание Е и И в суффиксах переходных и непереходных глаголов,37,Тире в неполном предложении,134.0,Придаточные изъяснительные,233.0,Нормативное образование и употребление сравнительной и превосходной степеней имён прилагательных и наречий,339.0,,,Правописание разделительных Ъ/Ь,530.0,,,,,Средства выразительности,827.0,,,,
22,"Гласная в суффиксе -ЕН- глагола, обозначающего переход из одного состояния в другое",38,Тире в предложениях с обособленными приложениями,135.0,Придаточные обстоятельственные,234.0,Нормативное образование и употребление форм глаголов,340.0,,,Правописание приставок на -З и -С,531.0,,,,,Анализ содержания текста,828.0,,,,
23,Гласная перед суффиксом глагола прошедшего времени,39,"Тире между словами и цифрами для указания пространственных, временных или количественных пределов",136.0,Придаточные присоединительные,235.0,,,,,Правописание суффикса глаголов перед ударным -ВА-,535.0,,,,,Лексическое значение слова (многозначного слова),829.0,,,,
24,Гласная в суффиксе инфинитива глагола,40,Тире в предложении с вводными и вставными конструкциями,137.0,Нарушение границ предложения,256.0,,,,,Глагольные суффиксы в причастиях и деепричастиях,536.0,,,,,Союз как средство связи,830.0,,,,
25,Суффиксы прилагательных -ЕВ-/-ИВ-,44,Тире в предложениях с уточняющими членами предложения,138.0,Сложносочиненное предложение,259.0,,,,,Слитное и раздельное написание производных предлогов,542.0,,,,,Частицы как средство связи,831.0,,,,
26,Гласная в суффиксах прилагательных после шипящих под ударением,45,Тире в бессоюзном сложном предложении,139.0,Сложноподчиненное предложение,260.0,,,,,Правописание -Н- и -НН- в суффиксах кратких отымённых прилагательных,543.0,,,,,Отбор языковых средств (сочинительный союз).,832.0,,,,
27,Суффиксы прилагательных -ЧИВ-/-ЛИВ-/-ИСТ-,46,Двоеточие в бессоюзном сложном предложении,140.0,Бессоюзное сложное предложение,261.0,,,,,,,,,,,Отбор языковых средств (подчинительный союз и союзное слово).,833.0,,,,
28,Суффиксы прилагательных -ОВ-/-ЕВ-/-ОВАТ-/-ЕВАТ-/-ОВИТ-/-ЕВИТ-,47,Пунктуационный разбор предложения,142.0,Простое предложение,277.0,,,,,,,,,,,Отбор языковых средств (местоимение).,834.0,,,,
29,Суффиксы прилагательных -ЧАТ-/-АТ-,48,Пунктуация в простом предложении с несколькими рядами однородных членов,146.0,,,,,,,,,,,,,Отбор языковых средств (вводное слово и вставная конструкция),835.0,,,,
30,Суффиксы прилагательных -К-/-СК-,49,Разграничение вводных слов и членов предложения,147.0,,,,,,,,,,,,,Отбор языковых средств (наречие).,836.0,,,,
31,Суффиксы прилагательных -ОНЬК-/-ЕНЬК-,50,"Пунктуация в простом предложении с однородными членами, связанными бессоюзной связью",148.0,,,,,,,,,,,,,Отбор языковых средств (предлог и производный предлог),837.0,,,,
32,Суффикс прилагательных -ЕСК-,51,Знаки препинания при междометиях,166.0,,,,,,,,,,,,,Отбор языковых средств (частица),838.0,,,,
33,Гласная перед Ч в прилагательных на -ЧИЙ,52,Тире в предложении с однородными членами и обобщающим словом,167.0,,,,,,,,,,,,,Повествование,839.0,,,,
34,Омонимия в суффиксах прилагательных -ЯН-/-ЕН-,54,Двоеточие в предложениями с однородными членами и обобщающим словом,168.0,,,,,,,,,,,,,Описание,840.0,,,,
35,Правописание безударных личных окончаний глаголов 1 спряжения,55,Запятая при передаче на письме чужой речи (прямая речь),169.0,,,,,,,,,,,,,Рассуждение,841.0,,,,
36,Правописание безударных личных окончаний глаголов 2 спряжения,56,"Тире при передаче на письме чужой речи (диалог, прямая речь)",170.0,,,,,,,,,,,,,Метафора,842.0,,,,
37,Правописание личных окончаний глагола с приставкой ВЫ-,57,Двоеточие при передаче на письме чужой речи (прямая речь),171.0,,,,,,,,,,,,,Олицетворение,843.0,,,,
38,Правописание личных окончаний разноспрягаемых глаголов,58,"Пунктуация в простом предложении с однородными членами, связанными бессоюзной связью",172.0,,,,,,,,,,,,,Разговорный стиль речи,844.0,,,,
39,Разграничение частиц НЕ и НИ,62,"Пунктуация в простом предложении с однородными членами, связанными одиночным соединительным или разделительным союзом",173.0,,,,,,,,,,,,,Научный стиль речи,845.0,,,,
40,Различие приставки НЕДО- от сочетания слов НЕ ДО-,64,"Пунктуация в простом предложении с однородными членами, связанными повторяющимися союзами",175.0,,,,,,,,,,,,,Официально-деловой стиль речи,846.0,,,,
41,"Правописание частиц НЕ и НИ с краткими прилагательными, не имеющими полную форму",68,Запятая в предложении с однородными членами (синтаксический анализ),176.0,,,,,,,,,,,,,Художественный стиль речи,847.0,,,,
42,Слитное и раздельное написание союзов,71,Запятая в сложносочинённом предложении (синтаксический анализ),177.0,,,,,,,,,,,,,Публицистический стиль речи,848.0,,,,
43,Слитное и раздельное написание производных предлогов,72,Запятая в бессоюзном сложном предложении (синтаксический анализ),178.0,,,,,,,,,,,,,Антонимы (в том числе контекстные),849.0,,,,
44,Слитное и раздельное написание наречий,73,Запятая в предложении с обособленными определениями (синтаксический анализ),179.0,,,,,,,,,,,,,Синонимы (в том числе контекстные),850.0,,,,
45,Раздельное написание частиц,74,Запятая в предложении с обособленными обстоятельствами (синтаксический анализ),180.0,,,,,,,,,,,,,Книжная лексика,851.0,,,,
46,Правописание слов с частью ПОЛ- и ПОЛУ-,75,Запятая в предложении с обособленными приложениями (синтаксический анализ),181.0,,,,,,,,,,,,,Разговорная лексика,852.0,,,,
47,Правописание -Н- и -НН- в суффиксах отымённых прилагательных -ИН-/-АН-/-ЯН-,78,Запятая в предложении с уточняющими членами (синтаксический анализ),182.0,,,,,,,,,,,,,Просторечная лексика,853.0,,,,
48,Правописание -Н- и -НН- в суффиксах отымённых прилагательных -ЕНН-/-ОНН-,79,Запятая в предложении с вводными и вставными конструкциями (синтаксический анализ),183.0,,,,,,,,,,,,,Диалектизмы,854.0,,,,
49,Правописание -Н- и -НН- в суффиксах отымённых прилагательных на стыке морфем,80,Запятая в предложении с обращениями (синтаксический анализ),184.0,,,,,,,,,,,,,Жаргонизмы,855.0,,,,
50,Правописание -Н- и -НН- в отглагольных прилагательных и причастиях,82,Запятая в предложении с междометиями (синтаксический анализ),185.0,,,,,,,,,,,,,Профессионализмы,856.0,,,,
51,Правописание -НН- в кратких отглагольных прилагательных,83,Запятая в сложноподчинённом предложении (синтаксический анализ),186.0,,,,,,,,,,,,,Термины,857.0,,,,
52,"Употребление гласных букв А/Я, У/Ю после шипящих и Ц",85,"Пунктуация в простом предложении с однородными членами, соединёнными попарно",188.0,,,,,,,,,,,,,Архаизмы,858.0,,,,
53,Гласные в приставках ПРО-/ПРА-,86,"Пунктуация в простом предложении с однородными членами, связанными противительным союзом",189.0,,,,,,,,,,,,,Историзмы,859.0,,,,
54,Суффиксы глаголов -ОВА(ЕВА)-/-ЫВА(ИВА)-,87,Тире в предложении с обособленными приложениями,191.0,,,,,,,,,,,,,Неологизмы,860.0,,,,
55,Ь на конце слов после шипящих,90,,,,,,,,,,,,,,,Фразеологизмы,861.0,,,,
56,Ь в сочетаниях согласных,93,,,,,,,,,,,,,,,Эмоционально-оценочная лексика,862.0,,,,
57,Ь в инфинитиве глагола,94,,,,,,,,,,,,,,,Вводные и вставные конструкции,863.0,,,,
58,Правописание Ь в глаголах повелительного наклонения,95,,,,,,,,,,,,,,,Восклицательные предложения,864.0,,,,
59,Правописание слов с соединительными гласными -О-/-Е-,98,,,,,,,,,,,,,,,Вопросительные предложения,865.0,,,,
60,"Слитное и раздельное написание вводных слов, существительных, местоимений, прилагательных, числительных и омонимичных конструкций",99,,,,,,,,,,,,,,,Риторическое восклицание,866.0,,,,
61,Правописание -НН- в кратких отглагольных прилагательных,1101,,,,,,,,,,,,,,,Риторический вопрос,867.0,,,,
62,Суффикс существительных ЁР,1102,,,,,,,,,,,,,,,Односоставное предложение,868.0,,,,
63,Гласные О и Ё после шипящих в суффиксах отымённых и отглагольных существительных,1103,,,,,,,,,,,,,,,Неполное предложение,869.0,,,,
64,Глагольные суффиксы в причастиях и деепричастиях,1104,,,,,,,,,,,,,,,Ряд однородных членов предложения,870.0,,,,
65,Ударная буква Ё в суффиксе глагола после шипящих,1105,,,,,,,,,,,,,,,Обособленные члены предложения,871.0,,,,
66,Суффиксы прилагательных -ЧЕСК-/-ИЧЕСК-,1106,,,,,,,,,,,,,,,Сравнительный оборот,872.0,,,,
67,Суффиксы прилагательных -ИЧ-/-ЕЧ-,1107,,,,,,,,,,,,,,,Обращение,873.0,,,,
68,Гласная перед Н и НН в отымённых прилагательных,1108,,,,,,,,,,,,,,,Авторские знаки препинания,874.0,,,,
69,Суффиксы наречий,1109,,,,,,,,,,,,,,,Анафора,875.0,,,,
70,Правописание безударных личных окончаний глаголов-исключений,1110,,,,,,,,,,,,,,,Вопросно-ответная форма изложения,876.0,,,,
71,"Правописание суффиксов причастий УЩ, ЮЩ, АЩ, ЯЩ",1111,,,,,,,,,,,,,,,Градация,877.0,,,,
72,Правописание суффиксов причастий ЕМ и ИМ,1112,,,,,,,,,,,,,,,Инверсия,878.0,,,,
73,Правописание гласной перед НН в причастиях,1113,,,,,,,,,,,,,,,Лексический повтор,879.0,,,,
74,Правописание гласной перед -ВШ- в причастиях,1114,,,,,,,,,,,,,,,Парцелляция,880.0,,,,
75,"Написание НЕ со словом, которое без НЕ не употребляется",1115,,,,,,,,,,,,,,,Антитеза,881.0,,,,
76,"Написание НЕ со словом, у которого есть синоним без НЕ",1116,,,,,,,,,,,,,,,Синтаксический параллелизм,882.0,,,,
77,Написание НЕ с полными одиночными причастиями,1117,,,,,,,,,,,,,,,Цитирование,883.0,,,,
78,Написание НЕ со словами с наречиями меры и степени,1118,,,,,,,,,,,,,,,Диалог,884.0,,,,
79,Написание НЕ с неопределенными местоимениями,1119,,,,,,,,,,,,,,,Монолог,885.0,,,,
80,Написание НЕ с отрицательными наречиями,1120,,,,,,,,,,,,,,,Лексический повтор как средство связи,886.0,,,,
81,Написание НЕ со словом при противопоставлении с союзом НО,1121,,,,,,,,,,,,,,,Вводные слова как средство связи,887.0,,,,
82,Написание НЕ с производным предлогом,1122,,,,,,,,,,,,,,,Формы слова как средство связи,888.0,,,,
83,Написание НЕ со словами через дефис,1123,,,,,,,,,,,,,,,Однокоренные слова как средство связи,889.0,,,,
84,Написание НЕ со словом при противопоставлении с союзом А,1124,,,,,,,,,,,,,,,Личные местоимения как средство связи,890.0,,,,
85,"Написание НЕ с кратким прилагательными, которые не имеют полную форму",1125,,,,,,,,,,,,,,,Притяжательные местоимения как средство связи,891.0,,,,
86,"Написание НЕ со словами, усиливающими отрицание",1126,,,,,,,,,,,,,,,Указательные местоимения как средство связи,892.0,,,,
87,"Написание НЕ с глаголами, деепричастиями, наречиями не на -о и -е, краткими причастиями, числительными, союзами, частицами и предлогами",1127,,,,,,,,,,,,,,,Определительные местоимения как средство связи,893.0,,,,
88,Написание НЕ с причастиями с зависимыми словами,1128,,,,,,,,,,,,,,,Союз как средство связи,894.0,,,,
89,Написание НЕ со словами в сравнительной степени,1129,,,,,,,,,,,,,,,Частицы как средство связи,895.0,,,,
90,Написание НЕ с относительными прилагательными,1130,,,,,,,,,,,,,,,"Формулировки, обозначающие смысловые отношения между предложениями",896.0,,,,
91,Написание НЕ с наречиями в безличных предложениях,1131,,,,,,,,,,,,,,,,,,,,
92,Написание НЕ с неопределенными местоимениями с предлогом,1132,,,,,,,,,,,,,,,,,,,,
93,Написание НЕ в вопросительных предложениях,1133,,,,,,,,,,,,,,,,,,,,
94,Раздельное написание НИ,1134,,,,,,,,,,,,,,,,,,,,
95,Дефисное написание,1135,,,,,,,,,,,,,,,,,,,,
96,Правописание -Н- в притяжательных прилагательных,1136,,,,,,,,,,,,,,,,,,,,
97,"Правописание -НН- в отымённых прилагательных, которые образованы от существительных на -мя",1137,,,,,,,,,,,,,,,,,,,,
98,Определение спряжения глагола,1139,,,,,,,,,,,,,,,,,,,,
99,Слитное написание НИ,1140,,,,,,,,,,,,,,,,,,,,
100,Правописание -Н- и -НН- в суффиксах кратких отымённых прилагательных,1141,,,,,,,,,,,,,,,,,,,,
101,Правописание -Н- в кратких причастиях,1142,,,,,,,,,,,,,,,,,,,,
102,Правописание согласных в корне слова,1143,,,,,,,,,,,,,,,,,,,,
103,Раздельное написание НИ,1144,,,,,,,,,,,,,,,,,,,,
104,Правописание гласной после шипящих в корне,1145,,,,,,,,,,,,,,,,,,,,
105,Гласные после Ц в корне,1146,,,,,,,,,,,,,,,,,,,,
106,Правописание гласной после шипящих в корне,1147,,,,,,,,,,,,,,,,,,,,
107,Гласные после Ц в корне,1148,,,,,,,,,,,,,,,,,,,,
108,Правописание гласной после шипящих в корне,1149,,,,,,,,,,,,,,,,,,,,
109,Гласные после Ц в корне,1150,,,,,,,,,,,,,,,,,,,,
110,Суффиксы глаголов -ОВА(ЕВА)-/-ЫВА(ИВА)-,1151,,,,,,,,,,,,,,,,,,,,
111,Правописание суффикса глаголов перед ударным -ВА-,1152,,,,,,,,,,,,,,,,,,,,
112,Суффиксы прилагательных -ЧИВ-/-ЛИВ,1153,,,,,,,,,,,,,,,,,,,,
113,Суффикс прилагательных -ИСТ-,1154,,,,,,,,,,,,,,,,,,,,
114,Суффикс прилагательных -ЕСК-,1155,,,,,,,,,,,,,,,,,,,,
115,Суффиксы прилагательных -ЕНСК-/-ИНСК-,1156,,,,,,,,,,,,,,,,,,,,
116,Правописание -НН- в кратких отглагольных прилагательных,1157,,,,,,,,,,,,,,,,,,,,
117,Правописание -Н- и -НН- наречиях,1158,,,,,,,,,,,,,,,,,,,,
118,Правописание безударных проверяемых гласных в корне слова,1159,,,,,,,,,,,,,,,,,,,,
